-- 1. OVERALL DELIVERY PERFORMANCE SUMMARY 

"total_orders"	"avg_delivery_days"	"median_delivery_days"	"fastest_delivery"	"slowest_delivery"	"on_time_orders"	"late_orders"	"on_time_pct"	"late_pct"	"early_orders"	"early_pct"	"avg_delay_when_late"	"avg_freight_cost"	"avg_freight_pct_of_price"
96470	12.5	10.2	0.5	209.6	101475	8714	92.1	7.9	101347	92.0	9.4	19.95	16.6



Query 2 — Delivery Performance Trend Over Time

"order_month"	"order_month_name"	"total_orders"	"avg_delivery_days"	"median_delivery_days"	"late_delivery_pct"	"avg_freight_cost"	"avg_review_score"
"2016-09-01 00:00:00"	"Sep 2016"	1	54.8	54.8	100.0	2.83	1.00
"2016-10-01 00:00:00"	"Oct 2016"	265	19.6	18.0	1.0	19.70	3.90
"2016-12-01 00:00:00"	"Dec 2016"	1	4.7	4.7	0.0	8.72	5.00
"2017-01-01 00:00:00"	"Jan 2017"	750	12.6	10.8	2.8	17.18	4.16
"2017-02-01 00:00:00"	"Feb 2017"	1653	13.2	11.1	3.3	19.92	4.18
"2017-03-01 00:00:00"	"Mar 2017"	2546	13.0	10.1	5.6	19.03	4.13
"2017-04-01 00:00:00"	"Apr 2017"	2303	14.8	12.7	7.5	19.52	4.10
"2017-05-01 00:00:00"	"May 2017"	3545	11.5	9.8	3.8	19.36	4.20
"2017-06-01 00:00:00"	"Jun 2017"	3135	12.0	10.8	3.8	19.53	4.19
"2017-07-01 00:00:00"	"Jul 2017"	3872	11.4	10.1	3.6	19.18	4.19
"2017-08-01 00:00:00"	"Aug 2017"	4193	10.9	9.4	3.1	19.00	4.28
"2017-09-01 00:00:00"	"Sep 2017"	4150	11.9	10.4	5.1	19.78	4.18
"2017-10-01 00:00:00"	"Oct 2017"	4478	11.7	10.2	5.1	19.73	4.11
"2017-11-01 00:00:00"	"Nov 2017"	7288	15.0	12.6	13.8	19.54	3.90
"2017-12-01 00:00:00"	"Dec 2017"	5513	15.2	13.1	8.2	18.92	4.01
"2018-01-01 00:00:00"	"Jan 2018"	7069	14.1	11.6	6.5	19.07	4.00
"2018-02-01 00:00:00"	"Feb 2018"	6555	16.9	14.2	15.7	18.59	3.78
"2018-03-01 00:00:00"	"Mar 2018"	7003	16.0	13.2	20.5	20.86	3.75
"2018-04-01 00:00:00"	"Apr 2018"	6798	11.3	9.3	4.8	20.36	4.12
"2018-05-01 00:00:00"	"May 2018"	6749	11.3	9.1	8.0	19.36	4.16
"2018-06-01 00:00:00"	"Jun 2018"	6096	9.1	7.9	1.3	22.24	4.21
"2018-07-01 00:00:00"	"Jul 2018"	6156	8.9	7.4	4.4	22.96	4.27
"2018-08-01 00:00:00"	"Aug 2018"	6351	7.7	7.0	10.3	20.57	4.25



Query 3 — Delivery Performance by Customer State

"customer_state"	"total_orders"	"avg_delivery_days"	"median_delivery_days"	"late_delivery_pct"	"avg_freight_cost"	"freight_pct_of_price"	"avg_review_score"
"AM"	145	26.4	26.0	4.3	33.31	24.5	4.11
"AL"	397	24.5	22.1	24.1	35.87	19.4	3.82
"PA"	946	23.8	21.1	12.4	35.63	21.5	3.84
"MA"	717	21.6	19.3	20.4	38.49	26.3	3.76
"SE"	335	21.5	18.0	16.3	36.57	24.2	3.90
"CE"	1279	21.0	18.1	15.3	32.73	21.2	3.88
"PB"	517	20.6	18.4	11.3	43.09	22.4	4.04
"RO"	243	19.7	18.0	4.0	41.33	24.7	4.07
"PI"	476	19.4	16.3	15.5	39.12	24.1	3.96
"RN"	474	19.3	16.2	10.4	35.72	22.7	4.11
"BA"	3256	19.2	16.9	13.7	26.49	19.8	3.86
"PE"	1593	18.3	15.7	10.2	32.69	22.7	4.02
"MT"	886	18.0	16.2	6.8	28.00	19.1	4.01
"TO"	274	17.4	15.7	12.3	37.44	24.0	4.16
"ES"	1995	15.6	13.4	12.2	22.03	18.2	4.01
"MS"	701	15.5	14.0	10.9	23.35	16.4	4.06
"GO"	1957	15.4	13.7	7.9	22.56	18.2	4.04
"RS"	5344	15.2	13.1	6.9	21.61	18.2	4.09
"RJ"	12350	15.1	12.0	13.0	20.91	16.8	3.87
"SC"	3546	15.0	13.0	9.6	21.51	17.4	4.05
"DF"	2080	13.0	11.3	7.4	21.07	16.7	4.06
"MG"	11354	12.0	10.3	5.4	20.63	17.2	4.12
"PR"	4923	11.9	10.4	4.8	20.47	17.4	4.15
"SP"	40494	8.7	7.2	5.8	15.11	13.9	4.18


-- Query 4 — Delivery Performance by Seller State

"seller_state"	"unique_sellers"	"total_orders"	"avg_delivery_days"	"late_delivery_pct"	"avg_freight_cost"	"avg_review_score"
"RS"	125	1962	11.6	4.5	25.97	4.26
"RJ"	163	4227	12.0	8.1	19.49	4.16
"SP"	1769	68635	12.3	8.5	18.42	4.05
"DF"	30	808	12.5	6.7	20.44	4.07
"GO"	39	451	12.8	3.9	24.18	4.31
"MG"	236	7733	12.8	5.5	24.01	4.16
"ES"	22	310	12.9	6.6	32.72	4.07
"PE"	9	403	12.9	4.0	27.69	4.15
"PR"	335	7512	13.4	6.5	22.63	4.13
"SC"	184	3603	13.6	5.9	26.04	4.13
"BA"	18	550	13.8	5.4	30.80	4.16
"MT"	4	136	14.7	4.9	32.05	4.19
"MA"	1	389	17.7	23.6	30.03	4.02




Query 5 — Slowest Delivery Routes (State-to-State)


"from_state"	"to_state"	"total_orders"	"avg_delivery_days"	"late_delivery_pct"	"avg_freight_cost"	"avg_review_score"
"MG"	"PA"	84	27.8	17.4	44.64	4.05
"SP"	"AM"	99	26.2	4.6	30.92	4.12
"RJ"	"CE"	54	26.0	25.0	34.33	3.55
"PR"	"PA"	54	25.4	12.1	52.95	4.07
"SP"	"AL"	256	24.6	25.3	34.36	3.69
"PR"	"CE"	64	24.0	12.5	41.87	3.52
"SP"	"PA"	683	23.3	12.9	31.71	3.79
"SP"	"MA"	493	22.2	22.2	38.38	3.67
"PR"	"BA"	144	21.5	15.3	44.85	3.77
"SP"	"SE"	208	21.3	18.1	38.16	3.80
"MG"	"MT"	53	21.1	6.3	37.69	3.78
"SP"	"CE"	970	21.0	15.4	30.95	3.88
"SC"	"BA"	79	20.8	12.5	46.34	3.73
"SP"	"PB"	337	20.7	10.3	43.25	4.03
"SP"	"RN"	334	20.7	11.7	37.15	4.07
"SP"	"AC"	57	20.5	3.0	39.11	4.06
"SP"	"PI"	329	20.4	18.0	37.64	3.91
"MG"	"MA"	64	20.1	17.9	49.10	4.18
"MG"	"CE"	74	20.0	11.1	38.13	4.05
"SP"	"RO"	169	20.0	4.6	40.55	4.09



Query 6 — Delivery Delay Impact on Review Score

"delay_bucket"	"total_orders"	"pct_of_orders"	"avg_review_score"	"negative_review_pct"	"positive_review_pct"
"5+ days early"	79481	82.9	4.22	11.3	80.9
"1-4 days early"	7296	7.6	4.08	12.8	75.7
"Exactly on time"	175	0.2	4.17	9.7	76.5
"1-3 days late"	3863	4.0	3.84	18.1	68.9
"4-7 days late"	1787	1.9	2.27	62.5	26.9
"8-14 days late"	1722	1.8	1.74	78.5	12.5
"15+ days late"	1500	1.6	1.71	78.8	12.6



-- Query 7 — Delivery Performance by Product Category


"product_category"	"total_orders"	"avg_delivery_days"	"late_delivery_pct"	"avg_freight_cost"	"freight_pct_of_price"	"avg_review_score"
"moveis_escritorio"	1254	20.8	8.9	40.20	25.0	3.51
"ferramentas_jardim"	3448	13.7	8.0	22.65	20.5	4.08
"informatica_acessorios"	6529	13.2	7.8	18.84	16.2	3.99
"moveis_decoracao"	6307	12.9	8.4	20.64	23.7	3.95
"telefonia"	4093	12.9	8.3	15.65	22.4	3.99
"cama_mesa_banho"	9272	12.8	8.4	18.42	19.7	3.92
"relogios_presentes"	5493	12.7	8.3	16.75	8.4	4.07
"bebes"	2809	12.5	8.8	22.24	16.6	4.08
"cool_stuff"	3559	12.4	6.8	21.91	13.4	4.20
"automotivo"	3809	12.2	8.3	21.86	15.6	4.11
"esporte_lazer"	7529	12.1	7.4	19.38	17.1	4.17
"beleza_saude"	8647	12.0	9.1	18.91	14.5	4.19
"perfumaria"	3086	11.8	7.3	15.88	13.6	4.22
"brinquedos"	3803	11.7	7.4	18.80	16.1	4.21
"utilidades_domesticas"	5743	10.9	6.5	21.01	23.2	4.11
