"product_category","total_orders","total_gmv","avg_order_value","avg_review_score","freight_pct","category_quadrant"
"beleza_saude","8647","1233131.72","130.28","4.19","14.5","Workhorse — high volume, low value"
"relogios_presentes","5493","1165898.98","199.06","4.07","8.4","Star — high volume, high value"
"cama_mesa_banho","9272","1023434.76","93.44","3.92","19.7","Workhorse — high volume, low value"
"esporte_lazer","7529","954673.55","113.25","4.17","17.1","Workhorse — high volume, low value"
"informatica_acessorios","6529","888613.62","116.27","3.99","16.2","Workhorse — high volume, low value"
"moveis_decoracao","6307","711927.69","87.25","3.95","23.7","Workhorse — high volume, low value"
"utilidades_domesticas","5743","615628.69","90.60","4.11","23.2","Workhorse — high volume, low value"
"cool_stuff","3559","610204.10","164.12","4.20","13.4","Star — high volume, high value"
"automotivo","3809","578849.35","139.85","4.11","15.6","Workhorse — high volume, low value"
"brinquedos","3803","471097.49","116.93","4.21","16.1","Workhorse — high volume, low value"
"ferramentas_jardim","3448","470495.28","110.24","4.08","20.5","Workhorse — high volume, low value"
"bebes","2809","400421.84","134.28","4.08","16.6","Workhorse — high volume, low value"
"perfumaria","3086","390144.65","116.81","4.22","13.6","Workhorse — high volume, low value"
"telefonia","4093","309860.23","69.95","3.99","22.4","Workhorse — high volume, low value"
"moveis_escritorio","1254","268154.31","160.76","3.51","25.0","Hidden gem — low volume, high value"
"papelaria","2264","223788.69","90.75","4.25","20.5","Workhorse — high volume, low value"
"pcs","177","218684.14","1098.92","4.22","4.4","Hidden gem — low volume, high value"
"pet_shop","1688","211695.64","110.03","4.22","18.4","Workhorse — high volume, low value"
"instrumentos_musicais","611","184315.74","283.13","4.22","9.7","Hidden gem — low volume, high value"
"eletroportateis","609","182754.12","277.74","4.22","8.4","Hidden gem — low volume, high value"
"others","1392","170726.63","111.08","3.94","15.8","Workhorse — high volume, low value"
"eletronicos","2517","155043.93","56.81","4.07","29.5","Workhorse — high volume, low value"
"fashion_bolsas_e_acessorios","1820","149329.39","75.23","4.19","20.5","Workhorse — high volume, low value"
"consoles_games","1018","148003.37","135.91","4.14","12.9","Underperformer — low volume, low value"
"construcao_ferramentas_construcao","736","142108.49","155.14","4.09","14.3","Hidden gem — low volume, high value"
"malas_acessorios","1019","138701.63","128.79","4.35","21.7","Underperformer — low volume, low value"
"eletrodomesticos_2","227","107953.95","467.33","4.16","9.5","Hidden gem — low volume, high value"
"casa_construcao","483","81407.57","136.59","3.96","16.7","Underperformer — low volume, low value"
"eletrodomesticos","747","78832.48","104.55","4.23","18.4","Underperformer — low volume, low value"
"agro_industria_e_comercio","177","70566.10","342.55","4.09","8.0","Hidden gem — low volume, high value"
"moveis_sala","414","67350.70","136.06","3.93","26.3","Underperformer — low volume, low value"
"casa_conforto","392","58008.45","135.22","3.85","14.5","Underperformer — low volume, low value"
"telefonia_fixa","212","55315.21","216.92","3.76","8.1","Hidden gem — low volume, high value"
"climatizacao","246","53323.56","184.51","4.05","12.2","Hidden gem — low volume, high value"
"audio","348","50570.60","139.70","3.84","11.2","Underperformer — low volume, low value"
"portateis_casa_forno_e_cafe","72","46589.56","638.21","4.44","5.7","Hidden gem — low volume, high value"
"moveis_cozinha_area_de_servico_jantar_e_jardim","241","45531.98","166.18","4.03","25.3","Hidden gem — low volume, high value"
"livros_interesse_geral","495","45256.25","84.43","4.51","19.6","Underperformer — low volume, low value"
"construcao_ferramentas_iluminacao","242","39957.00","132.75","4.08","18.7","Underperformer — low volume, low value"
"construcao_ferramentas_seguranca","159","38773.22","211.88","3.97","9.6","Hidden gem — low volume, high value"
"industria_comercio_e_negocios","231","38169.81","144.58","4.12","19.8","Underperformer — low volume, low value"
"alimentos","441","28731.15","57.58","4.26","24.6","Underperformer — low volume, low value"
"market_place","274","27795.77","91.13","4.07","19.1","Underperformer — low volume, low value"
"construcao_ferramentas_jardim","190","25096.28","108.17","4.12","20.7","Underperformer — low volume, low value"
"artes","195","23657.30","120.09","4.08","16.2","Underperformer — low volume, low value"
"fashion_calcados","235","23001.46","89.50","4.28","20.9","Underperformer — low volume, low value"
"bebidas","287","21529.84","59.64","4.12","25.3","Underperformer — low volume, low value"
