"order_month","order_month_name","order_year","order_month_num","total_orders","unique_customers","total_gmv","total_freight","total_revenue","avg_order_value","avg_delivery_days","late_delivery_pct","avg_review_score","freight_pct_of_gmv"
"2016-09-01 00:00:00","Sep 2016",2016,9,"1","1","134.97","8.49","143.46","44.99","54.8","100.0","1.00","6.3"
"2016-10-01 00:00:00","Oct 2016",2016,10,"265","262","40325.11","6165.55","46490.66","128.83","19.6","1.0","3.90","15.3"
"2016-12-01 00:00:00","Dec 2016",2016,12,"1","1","10.90","8.72","19.62","10.90","4.7","0.0","5.00","80.0"
"2017-01-01 00:00:00","Jan 2017",2017,1,"750","718","111798.36","15684.01","127482.37","122.45","12.6","2.8","4.16","14.0"
"2017-02-01 00:00:00","Feb 2017",2017,2,"1653","1630","234223.40","37015.92","271239.32","126.06","13.2","3.3","4.18","15.8"
"2017-03-01 00:00:00","Mar 2017",2017,3,"2546","2508","359198.85","55132.10","414330.95","123.99","13.0","5.6","4.13","15.3"
"2017-04-01 00:00:00","Apr 2017",2017,4,"2303","2274","340669.68","50142.72","390812.40","132.61","14.8","7.5","4.10","14.7"
"2017-05-01 00:00:00","May 2017",2017,5,"3545","3478","489159.25","77498.15","566657.40","122.20","11.5","3.8","4.20","15.8"
"2017-06-01 00:00:00","Jun 2017",2017,6,"3135","3076","421923.37","68127.00","490050.37","120.93","12.0","3.8","4.19","16.1"
"2017-07-01 00:00:00","Jul 2017",2017,7,"3872","3802","481604.52","84694.56","566299.08","109.06","11.4","3.6","4.19","17.6"
"2017-08-01 00:00:00","Aug 2017",2017,8,"4193","4114","554699.70","91132.66","645832.36","115.63","10.9","3.1","4.28","16.4"
"2017-09-01 00:00:00","Sep 2017",2017,9,"4150","4083","607399.67","93677.82","701077.49","128.22","11.9","5.1","4.18","15.4"
"2017-10-01 00:00:00","Oct 2017",2017,10,"4478","4417","648247.65","102869.36","751117.01","124.33","11.7","5.1","4.11","15.9"
"2017-11-01 00:00:00","Nov 2017",2017,11,"7288","7182","987648.07","165581.30","1153229.37","116.55","15.0","13.8","3.90","16.8"
"2017-12-01 00:00:00","Dec 2017",2017,12,"5513","5450","726033.19","117045.10","843078.29","117.35","15.2","8.2","4.01","16.1"
"2018-01-01 00:00:00","Jan 2018",2018,1,"7069","6974","924645.00","153242.46","1077887.46","115.05","14.1","6.5","4.00","16.6"
"2018-02-01 00:00:00","Feb 2018",2018,2,"6555","6400","826437.13","139731.28","966168.41","109.93","16.9","15.7","3.78","16.9"
"2018-03-01 00:00:00","Mar 2018",2018,3,"7003","6914","953356.25","167241.99","1120598.24","118.92","16.0","20.5","3.75","17.5"
"2018-04-01 00:00:00","Apr 2018",2018,4,"6798","6744","973534.09","159344.84","1132878.93","124.38","11.3","4.8","4.12","16.4"
"2018-05-01 00:00:00","May 2018",2018,5,"6749","6693","977544.69","151229.83","1128774.52","125.17","11.3","8.0","4.16","15.5"
"2018-06-01 00:00:00","Jun 2018",2018,6,"6096","6058","855591.97","155856.99","1011448.96","122.11","9.1","1.3","4.21","18.2"
"2018-07-01 00:00:00","Jul 2018",2018,7,"6156","6097","867486.47","159800.05","1027286.52","124.64","8.9","4.4","4.27","18.4"
"2018-08-01 00:00:00","Aug 2018",2018,8,"6351","6310","838576.64","146915.00","985491.64","117.41","7.7","10.3","4.25","17.5"
