"order_month","month_label","customer_type","unique_customers","total_orders"
"2016-09-01 00:00:00","Sep 2016","New Customer","1","1"
"2016-10-01 00:00:00","Oct 2016","New Customer","262","265"
"2016-12-01 00:00:00","Dec 2016","New Customer","1","1"
"2017-01-01 00:00:00","Jan 2017","New Customer","717","749"
"2017-01-01 00:00:00","Jan 2017","Returning Customer","1","1"
"2017-02-01 00:00:00","Feb 2017","New Customer","1628","1651"
"2017-02-01 00:00:00","Feb 2017","Returning Customer","2","2"
"2017-03-01 00:00:00","Mar 2017","New Customer","2503","2541"
"2017-03-01 00:00:00","Mar 2017","Returning Customer","5","5"
"2017-04-01 00:00:00","Apr 2017","New Customer","2256","2284"
"2017-04-01 00:00:00","Apr 2017","Returning Customer","18","19"
"2017-05-01 00:00:00","May 2017","New Customer","3450","3516"
"2017-05-01 00:00:00","May 2017","Returning Customer","28","29"
"2017-06-01 00:00:00","Jun 2017","New Customer","3037","3092"
"2017-06-01 00:00:00","Jun 2017","Returning Customer","39","43"
"2017-07-01 00:00:00","Jul 2017","New Customer","3752","3820"
"2017-07-01 00:00:00","Jul 2017","Returning Customer","50","52"
"2017-08-01 00:00:00","Aug 2017","New Customer","4057","4133"
"2017-08-01 00:00:00","Aug 2017","Returning Customer","57","60"
"2017-09-01 00:00:00","Sep 2017","New Customer","4004","4070"
"2017-09-01 00:00:00","Sep 2017","Returning Customer","79","80"
"2017-10-01 00:00:00","Oct 2017","New Customer","4328","4384"
"2017-10-01 00:00:00","Oct 2017","Returning Customer","89","94"
"2017-11-01 00:00:00","Nov 2017","New Customer","7059","7159"
"2017-11-01 00:00:00","Nov 2017","Returning Customer","123","129"
"2017-12-01 00:00:00","Dec 2017","New Customer","5338","5395"
"2017-12-01 00:00:00","Dec 2017","Returning Customer","112","118"
"2018-01-01 00:00:00","Jan 2018","New Customer","6842","6934"
"2018-01-01 00:00:00","Jan 2018","Returning Customer","132","135"
"2018-02-01 00:00:00","Feb 2018","New Customer","6288","6435"
"2018-02-01 00:00:00","Feb 2018","Returning Customer","112","120"
"2018-03-01 00:00:00","Mar 2018","New Customer","6774","6860"
"2018-03-01 00:00:00","Mar 2018","Returning Customer","140","143"
"2018-04-01 00:00:00","Apr 2018","New Customer","6582","6633"
"2018-04-01 00:00:00","Apr 2018","Returning Customer","162","165"
"2018-05-01 00:00:00","May 2018","New Customer","6506","6556"
"2018-05-01 00:00:00","May 2018","Returning Customer","187","193"
"2018-06-01 00:00:00","Jun 2018","New Customer","5875","5908"
"2018-06-01 00:00:00","Jun 2018","Returning Customer","183","188"
"2018-07-01 00:00:00","Jul 2018","New Customer","5946","6004"
"2018-07-01 00:00:00","Jul 2018","Returning Customer","151","152"
"2018-08-01 00:00:00","Aug 2018","New Customer","6144","6180"
"2018-08-01 00:00:00","Aug 2018","Returning Customer","166","171"
